curly,dot-location,eqeqeq,vars-on-top,no-unused-vars,no-use-before-define,id-length,semi,max-len,max-statements,no-bitwise,LOC,NCLOC,codePerLine,emptyLine,mixLOC,paremeter,mostDepth,Url
0,0,0,1,0,0,6,0,0,0,0,29,8,23.24137931034483,1,8,1,1,http://rosettacode.org//wiki/Compare_a_list_of_strings
0,0,0,2,0,0,27,8,0,0,0,42,1,29.38095238095238,0,0,2,1,http://rosettacode.org//wiki/Arithmetic/Complex
0,0,0,0,0,0,0,0,0,0,0,4,0,27.5,0,0,0,1,http://rosettacode.org//wiki/Concurrent_computing
0,0,0,1,0,0,1,0,0,0,0,9,0,32.666666666666664,0,0,0,1,http://rosettacode.org//wiki/Concurrent_computing
0,0,2,0,0,0,0,0,0,0,0,7,0,13.857142857142858,0,0,0,2,http://rosettacode.org//wiki/Conditional_structures
0,0,0,0,0,0,0,0,0,0,0,15,0,13.733333333333333,0,0,0,1,http://rosettacode.org//wiki/Conditional_structures
0,0,0,0,1,0,0,0,0,0,0,1,0,46,0,0,0,1,http://rosettacode.org//wiki/Conditional_structures
0,0,0,0,1,0,0,0,0,0,0,9,0,25.444444444444443,0,0,2,1,http://rosettacode.org//wiki/Conditional_structures
1,0,0,5,0,0,6,0,0,0,0,35,3,23.771428571428572,0,0,0,1,http://rosettacode.org//wiki/Constrained_random_points_on_a_circle
0,0,1,1,0,0,1,0,0,0,0,10,0,16.8,0,0,0,1,http://rosettacode.org//wiki/Loops/Continue
0,0,0,0,0,0,3,0,0,0,0,10,0,19.4,0,0,1,1,http://rosettacode.org//wiki/Loops/Continue
0,0,0,0,0,0,0,2,0,0,0,2,0,13.5,0,0,0,1,http://rosettacode.org//wiki/Loops/Continue
0,0,0,0,0,0,0,4,0,0,0,5,4,32.6,0,3,0,1,http://rosettacode.org//wiki/Non-decimal_radices/Convert
4,0,1,1,0,0,3,0,6,0,0,19,2,62.21052631578947,0,2,3,1,http://rosettacode.org//wiki/Non-decimal_radices/Convert
3,0,2,1,1,0,3,0,8,1,0,30,5,51.6,0,4,3,1,http://rosettacode.org//wiki/Non-decimal_radices/Convert
2,0,2,14,0,0,11,5,1,1,0,90,0,29.77777777777778,0,0,0,1,http://rosettacode.org/wiki/Conway%27s_Game_of_Life
4,0,2,16,2,3,17,9,3,2,0,123,6,32.1219512195122,2,0,1.3333333333333333,1,http://rosettacode.org/wiki/Conway%27s_Game_of_Life
0,0,0,0,0,0,0,0,1,0,0,5,2,40.6,0,2,0,1,http://rosettacode.org//wiki/Copy_a_string
0,0,0,0,1,0,2,1,0,0,0,3,2,47.666666666666664,0,2,0,1,http://rosettacode.org//wiki/Copy_a_string
3,0,2,0,0,1,1,0,0,0,0,14,0,21.428571428571427,1,0,1,1,http://rosettacode.org//wiki/Count_in_factors
0,0,0,1,0,0,1,0,1,0,0,3,2,55.333333333333336,0,2,0,1,http://rosettacode.org//wiki/Count_in_octal
0,0,0,0,1,0,0,0,0,0,0,4,0,33,0,0,2,1,http://rosettacode.org//wiki/Count_occurrences_of_a_substring
0,0,0,2,1,0,4,0,0,0,0,15,2,30,0,0,2,1,http://rosettacode.org//wiki/Count_the_coins
0,0,0,0,0,0,0,1,0,0,0,2,0,18.5,0,0,0,1,http://rosettacode.org//wiki/Count_the_coins
0,0,0,1,1,0,5,0,0,0,0,22,2,22.181818181818183,1,0,2,1,http://rosettacode.org//wiki/Count_the_coins
0,0,0,0,0,0,0,1,0,0,0,2,0,18.5,0,0,0,1,http://rosettacode.org//wiki/Count_the_coins
3,0,0,2,0,4,4,4,1,0,0,8,1,36.375,0,1,0,1,http://rosettacode.org//wiki/Count_the_coins
0,0,0,0,1,0,2,1,0,0,0,15,0,20.666666666666668,0,0,0,1,http://rosettacode.org//wiki/Sorting_algorithms/Counting_sort
0,0,0,0,0,0,1,0,0,0,0,9,1,23.444444444444443,0,0,0,1,http://rosettacode.org//wiki/Sorting_algorithms/Counting_sort
0,0,0,1,0,0,1,0,0,0,0,13,4,24.923076923076923,0,0,0,1,http://rosettacode.org//wiki/Create_a_two-dimensional_array_at_runtime
0,0,0,2,0,0,9,0,0,0,0,60,4,31.15,0,1,0,1,http://rosettacode.org//wiki/Create_an_HTML_table
0,0,0,2,0,0,0,0,0,0,0,18,5,31.833333333333332,0,1,0,1,http://rosettacode.org//wiki/Associative_array/Creation
2,0,1,9,1,2,7,0,0,1,0,50,3,30.82,1,0,4,1,http://rosettacode.org//wiki/Bitmap/B%C3%A9zier_curves/Cubic
0,0,0,0,0,0,2,0,0,0,0,9,0,15.88888888888889,0,0,1,1,http://rosettacode.org//wiki/Currying
0,0,0,1,1,0,0,0,0,0,0,6,0,48.5,0,0,0,1,http://rosettacode.org//wiki/XML/DOM_serialization
0,0,0,0,0,0,0,0,3,0,0,7,0,68.85714285714286,0,0,0,1,http://rosettacode.org//wiki/Date_format
0,0,0,2,0,0,0,1,1,1,0,38,7,38.71052631578947,0,1,1,1,http://rosettacode.org//wiki/Date_manipulation
1,0,0,2,0,0,0,2,0,0,0,5,0,27.2,0,0,0,1,http://rosettacode.org//wiki/Day_of_the_week
0,3,0,0,0,0,4,0,0,0,0,17,2,25.235294117647058,0,0,0,1,http://rosettacode.org//wiki/Day_of_the_week
0,0,0,7,1,0,4,3,1,1,3,79,19,26.670886075949365,0,0,1,1,http://rosettacode.org//wiki/Deal_cards_for_FreeCell
0,0,0,2,0,0,1,0,0,0,0,28,6,32.107142857142854,0,0,0,1,http://rosettacode.org//wiki/Death_Star
0,0,0,7,0,0,2,12,0,0,0,36,0,23.75,0,0,0,1,http://rosettacode.org//wiki/Roman_numerals/Decode
0,0,0,0,0,3,3,2,0,0,0,57,6,26.17543859649123,0,0,0,1,http://rosettacode.org//wiki/Roman_numerals/Decode
0,0,0,0,0,0,0,1,0,0,0,1,0,18,0,0,0,1,http://rosettacode.org//wiki/Roman_numerals/Decode
0,0,0,1,0,2,9,0,0,0,0,27,0,26.037037037037038,0,0,0,1,http://rosettacode.org//wiki/Roman_numerals/Decode
0,0,0,0,0,0,0,1,0,0,0,1,0,18,0,0,0,1,http://rosettacode.org//wiki/Roman_numerals/Decode
0,0,0,1,2,1,1,0,0,0,0,10,0,20,0,0,0,1,http://rosettacode.org//wiki/Deepcopy
0,0,0,1,1,0,1,0,0,0,0,11,0,16.90909090909091,0,0,0,1,http://rosettacode.org//wiki/Deepcopy
2,0,0,3,2,0,5,2,0,0,0,24,8,24.041666666666668,0,8,1,1,http://rosettacode.org//wiki/Define_a_primitive_data_type
0,0,0,1,0,0,1,0,0,0,0,5,3,20.4,0,3,0,1,http://rosettacode.org//wiki/Queue/Definition
0,0,1,0,1,0,0,6,0,0,0,14,0,22,0,0,0,1,http://rosettacode.org//wiki/Queue/Definition
1,0,1,0,1,0,3,2,0,0,0,23,0,25.782608695652176,2,0,0,1,http://rosettacode.org//wiki/Delegates
0,0,0,0,0,0,0,0,0,0,0,5,0,34,0,0,0,1,http://rosettacode.org//wiki/Delete_a_file
0,0,0,0,0,0,1,0,0,0,0,10,0,22.4,0,0,0,1,http://rosettacode.org//wiki/Delete_a_file
8,0,2,12,0,0,10,0,0,0,0,35,2,28.857142857142858,0,1,1,1,http://rosettacode.org//wiki/Anagrams/Deranged_anagrams
1,0,0,0,0,0,0,0,2,0,0,6,2,54.666666666666664,0,2,2,1,http://rosettacode.org//wiki/Detect_division_by_zero
0,0,0,1,0,0,1,0,1,0,0,9,4,42.77777777777778,0,1,1,2,http://rosettacode.org//wiki/Determine_if_a_string_is_numeric
1,0,0,2,1,0,2,0,0,0,1,17,2,21.58823529411765,0,0,2,1,http://rosettacode.org//wiki/Digital_root
6,0,4,4,0,0,4,0,0,1,1,65,5,35.07692307692308,2,0,2.5,1,http://rosettacode.org//wiki/Discordian_date
